date,close,eps,pe,bv,pb,div-yield %
2003-04-30,934.05,71.08,13.14,442.68,2.11,2.98
2003-03-31,978.2,73.22,13.36,454.98,2.15,2.93
2003-02-28,1063.4,73.74,14.42,456.39,2.33,2.46
2003-01-31,1041.8,73.73,14.13,456.93,2.28,2.51
2002-12-31,1093.5,73.74,14.83,457.53,2.39,2.4
2002-11-29,1050.1,73.74,14.24,456.57,2.3,2.49
2002-10-31,951.4,65.75,14.47,391.52,2.43,2.21
2002-09-30,963.15,67.21,14.33,401.31,2.4,2.23
2002-08-30,1010.6,67.19,15.04,330.26,3.06,1.95
2002-07-31,958.9,67.24,14.26,401.21,2.39,2.24
2002-06-28,1057.8,67.25,15.73,330.56,3.2,1.34
2002-05-31,1028.8,63.55,16.19,335.11,3.07,1.39
2002-04-30,1084.5,60.72,17.86,383.22,2.83,1.42
2002-03-28,1129.5,62.4,18.1,388.14,2.91,1.34
2002-02-28,1142.0,62.13,18.38,388.44,2.94,1.33
2002-01-31,1075.4,63.3,16.99,385.45,2.79,1.26
2001-12-31,1059.0,68.99,15.35,444.96,2.38,1.48
2001-11-29,1067.1,69.02,15.46,444.62,2.4,1.47
2001-10-31,971.9,70.48,13.79,443.79,2.19,1.61
2001-09-28,913.85,69.44,13.16,443.62,2.06,1.64
2001-08-31,1053.7,69.78,15.1,446.48,2.36,1.35
2001-07-31,1072.8,70.81,15.15,452.66,2.37,1.17
2001-06-29,1107.9,70.3,15.76,450.37,2.46,0.89
2001-05-31,1167.9,73.92,15.8,384.18,3.04,0.81
2001-04-30,1125.2,77.23,14.57,350.53,3.21,0.6
2001-03-30,1148.2,66.72,17.21,306.19,3.75,1.13
2001-02-28,1351.4,66.77,20.24,307.14,4.4,1.12
2001-01-31,1371.7,61.73,22.22,297.55,4.61,1.15
2000-12-29,1263.5,65.81,19.2,305.19,4.14,1.24
2000-11-30,1268.1,65.98,19.22,306.3,4.14,1.25
2000-10-31,1172.7,66.1,17.74,306.99,3.82,1.37
2000-09-29,1271.6,65.82,19.32,306.41,4.15,1.26
2000-08-31,1394.1,66.48,20.97,315.41,4.42,1.06
2000-07-31,1332.8,64.36,20.71,309.95,4.3,1.18
2000-06-30,1471.4,64.14,22.94,300.9,4.89,1.26
2000-05-31,1380.4,60.12,22.96,293.7,4.7,1.43
2000-04-28,1406.5,66.66,21.1,369.16,3.81,1.77
2000-03-31,1528.4,62.13,24.6,342.69,4.46,1.06
2000-02-29,1654.8,62.78,26.36,345.47,4.79,0.94
2000-01-31,1546.2,61.45,25.16,344.37,4.49,0.98
1999-12-30,1480.4,61.45,24.09,344.28,4.3,1.02
1999-11-30,1376.1,64.09,21.47,359.3,3.83,1.13
1999-10-29,1325.4,64.18,20.65,359.19,3.69,1.15
1999-09-30,1413.1,64.35,21.96,360.48,3.92,1.04
1999-08-31,1412.0,65.98,21.4,380.59,3.71,1.06
1999-07-30,1310.1,65.7,19.94,378.64,3.46,1.08
1999-06-30,1187.7,66.31,17.91,381.9,3.11,1.22
1999-05-31,1132.3,62.87,18.01,371.25,3.05,1.23
1999-04-30,978.2,65.13,15.02,379.15,2.58,1.25
1999-03-31,1078.0,65.21,16.53,379.58,2.84,1.48
1999-02-27,981.3,75.25,13.04,422.97,2.32,1.59
1999-01-29,966.2,75.31,12.83,423.77,2.28,1.66
